Keyword Text,Competition,Competition Index,Search Volume,Low Top Page Bid,High Top Page Bid
spell spelling bee,LOW,0,1500000,0.40,3.84
spell the bee,LOW,0,1500000,0.40,3.84
spelling bee nyt,LOW,0,550000,0.07,0.26
nyt spelling bee,LOW,0,550000,0.07,0.32
spell bee games,LOW,0,201000,0.99,2.00
spelling competition games,LOW,0,201000,0.99,2.00
spelling bee free,LOW,0,74000,0.10,0.10
free spell bee,LOW,0,74000,0.10,0.10
free spellingbee,LOW,0,74000,0.10,0.10
spelling bee words,LOW,7,49500,0.01,0.04
spelling bee word list,LOW,7,49500,0.01,0.04
spelling bee list,LOW,7,49500,0.01,0.04
spelling contest words,LOW,7,49500,0.01,0.04
spell b words,LOW,7,49500,0.01,0.04
spell bee contest words,LOW,7,49500,0.01,0.04
spelling bee spelling words,LOW,7,49500,0.01,0.04
spelling bee unlimited,LOW,0,40500,0.10,0.22
spell bee unlimited,LOW,0,40500,0.10,0.22
spellingbee unlimited,LOW,0,40500,0.10,0.22
spelling bee today,LOW,0,22200,,
spelling bee games free,LOW,0,18100,0.10,1.66
the new york times spelling bee,LOW,1,14800,0.07,0.82
spelling bee the new york times,LOW,1,14800,0.07,0.29
online spelling bee games,LOW,1,12100,0.10,2.00
nyt spelling,LOW,0,9900,,
free online spelling bee,LOW,0,9900,0.10,2.00
free online spelling bee games,LOW,1,9900,0.10,1.32
free spelling bee games online,LOW,1,9900,0.10,1.32
hard spelling bee words,LOW,4,6600,0.01,0.03
challenging spelling bee words,LOW,4,6600,0.01,0.03
complicated spelling bee words,LOW,4,6600,0.01,0.03
difficult spell bee words,LOW,4,6600,0.01,0.03
difficult words for spelling contest,LOW,4,6600,0.01,0.03
difficult words to spell for spelling bee,LOW,4,6600,0.01,0.03
difficult words to spell in spelling bee,LOW,4,6600,0.01,0.03
hardest spell bee words,LOW,4,6600,0.01,0.03
hardest word spelling bee,LOW,4,6600,0.01,0.03
hardest words for a spelling bee,LOW,4,6600,0.01,0.03
spelling words for seventh graders,MEDIUM,38,6600,0.02,1.39
spelling bee nyt free,LOW,0,5400,0.12,2.00
spelling bee words for adults,LOW,6,5400,0.01,0.04
ei words,LOW,0,5400,,
spelling b words for adults,LOW,6,5400,0.01,0.04
spelling bee for adults words,LOW,6,5400,0.01,0.04
spelling bee words nyt,LOW,0,4400,,
spelling bee 100 free,LOW,0,4400,,
spelling bee word today,LOW,0,4400,,
spelling words for eighth graders,LOW,21,4400,0.41,2.10
free spelling bee for adults,LOW,2,3600,0.10,0.10
nyt wordle spelling bee,LOW,3,3600,0.05,0.17
nytimes wordle spelling bee,LOW,3,3600,0.05,0.17
spelling for 11,LOW,0,3600,,
words to spell for 4th graders,HIGH,94,3600,0.08,2.16
spelling bee ny times,LOW,1,2900,0.09,0.23
unlimited spelling bee,LOW,0,2900,,
