date,word,pos,pronunciation,difficulty,definition,explanation,example,memory,quiz,answer,prompt
2026-01-01,Vivid,adjective,VIV-id,easy,"bright, clear, or full of life","Vivid words, colors, or memories feel strong and easy to picture.",The poem used vivid details that made the street feel alive.,Vivid writing makes a picture feel visible.,What kind of details help readers picture a scene?,Vivid details.,Ask students to add two vivid details to a dull sentence on the board.
2026-01-02,Lucid,adjective,LOO-sid,medium,clear and easy to understand,"A lucid idea, sentence, or explanation is clear enough that people can follow it without confusion.",Her lucid summary helped the whole class understand the difficult chapter.,Think of a clear light switching on: lucid writing lights up the meaning.,Which sentence uses lucid correctly?,Correct use: The teacher gave a lucid explanation of the problem.,Give students 60 seconds to rewrite a confusing sentence from today's lesson so it is lucid.
2026-01-03,Resilient,adjective,ri-ZIL-yuhnt,medium,able to recover after difficulty or change,"A resilient person, plan, or material can handle pressure and keep going.",The resilient team adjusted quickly after the first idea failed.,Resilient sounds like returning to shape after being bent.,"If someone stays calm and recovers after a setback, what are they?",They are resilient.,Ask students to describe a time they were resilient in one sentence.
2026-01-04,Nuance,noun,NOO-ahns,hard,"a small but important difference in meaning, feeling, or expression",Nuance helps you notice the fine details that make two similar ideas not exactly the same.,The actor captured every nuance of the character's nervous smile.,Nuance is the tiny shade of meaning between almost-matching ideas.,What does nuance add to an idea?,"It adds a small, subtle difference in meaning or feeling.",Have students compare two similar words and name one nuance that separates them.
2026-01-05,Cordial,adjective,KOR-juhl,medium,"warm, friendly, and polite",A cordial greeting is friendly without being overly familiar.,The two neighbors exchanged a cordial hello each morning.,Cordial sounds connected to the heart: friendly and warm.,What is a cordial greeting like?,"It is warm, friendly, and polite.",Ask students to write a cordial two-sentence email to a classmate.
2026-01-06,Curious,adjective,KYUR-ee-uhs,easy,wanting to know or learn more,A curious mind asks questions and looks for patterns.,The curious student stayed after class to ask how the machine worked.,Curious starts with a question.,What does a curious person like to do?,Ask questions and learn more.,Ask each student to write one curious question about today's topic.
2026-01-07,Concise,adjective,kuhn-SYSE,medium,using few words while still being clear,Concise writing removes extra words but keeps the meaning.,"The instructions were concise, so everyone knew what to do.",Concise means clear and compact.,Is concise writing long-winded or brief?,Brief.,Give students a wordy sentence and 60 seconds to make it concise.
2026-01-08,Pragmatic,adjective,prag-MAT-ik,hard,focused on practical results rather than theory,"A pragmatic choice may not be perfect, but it works in real life.",They made a pragmatic decision to fix the old laptop instead of buying a new one.,"Pragmatic people ask, ""What will actually work?""",Is a pragmatic solution more practical or more imaginary?,More practical.,Give students a messy classroom problem and ask for one pragmatic fix in a sentence.
2026-01-09,Abate,verb,a-BATE,medium,to lessen or reduce in force or intensity,Abate is a verb meaning to lessen or reduce in force or intensity. Use it when that meaning is exactly what you need in writing or speech.,"The storm began to abate just before sunrise, leaving the streets quiet.",from Old French abattre — to beat down,"What does ""abate"" mean?",To lessen or reduce in force or intensity.,"Give students 60 seconds to use ""abate"" in an original sentence that shows it means ""to lessen or reduce in force or intensity""."
2026-01-10,Adapt,verb,uh-DAPT,easy,to change so something works in a new situation,"When you adapt, you adjust your behavior, plan, or tool to fit new conditions.",We had to adapt the lesson for a younger class.,Adapt means adjust.,"If plans change and you adjust, what do you do?",You adapt.,Ask students how they would adapt a playground game for a rainy day.
2026-01-11,Accurate,adjective,AK-yuh-rit,easy,correct in all details; free from error,Accurate is an adjective meaning correct in all details; free from error. Use it when that meaning is exactly what you need in writing or speech.,Double-check the graph so every label is accurate before you print the poster.,Accurate means the details match the facts.,"What does ""accurate"" mean?",Correct in all details; free from error.,"Give students 60 seconds to use ""accurate"" in an original sentence that shows it means ""correct in all details; free from error""."
2026-01-12,Abhor,verb,ab-HOR,medium,to hate or detest strongly,Abhor is a verb meaning to hate or detest strongly. Use it when that meaning is exactly what you need in writing or speech.,"Many philosophers abhor cruelty in any form, regardless of motive.",from abhorrere — to shrink back from,"What does ""abhor"" mean?",To hate or detest strongly.,"Give students 60 seconds to use ""abhor"" in an original sentence that shows it means ""to hate or detest strongly""."
2026-01-13,Abstain,verb,ab-STAIN,medium,to choose not to do or take part in something,Abstain is a verb meaning to choose not to do or take part in something. Use it when that meaning is exactly what you need in writing or speech.,Three senators chose to abstain from the controversial vote.,from abstinere — to hold back,"What does ""abstain"" mean?",To choose not to do or take part in something.,"Give students 60 seconds to use ""abstain"" in an original sentence that shows it means ""to choose not to do or take part in something""."
2026-01-14,Meticulous,adjective,muh-TIK-yuh-luhs,hard,very careful and attentive to detail,"Meticulous work is done with patience, precision, and close attention.",The editor made meticulous notes on every paragraph.,Meticulous means tiny details matter.,Would a meticulous person rush through a task?,No. A meticulous person works carefully.,Have students spend 60 seconds making one sentence more meticulous by adding a precise detail.
2026-01-15,Acrid,adjective,ac-RID,medium,sharp and bitter in smell or taste,Acrid is an adjective meaning sharp and bitter in smell or taste. Use it when that meaning is exactly what you need in writing or speech.,An acrid smoke filled the lab after the experiment failed.,from acer — sharp,"What does ""acrid"" mean?",Sharp and bitter in smell or taste.,"Give students 60 seconds to use ""acrid"" in an original sentence that shows it means ""sharp and bitter in smell or taste""."
2026-01-16,Benefit,noun,BEN-uh-fit,easy,a helpful or useful result,Benefit is a noun meaning a helpful or useful result. Use it when that meaning is exactly what you need in writing or speech.,One benefit of outlining is that your essay stays on topic.,Benefit is a plus you get from a choice.,"What does ""benefit"" mean?",A helpful or useful result.,"Give students 60 seconds to use ""benefit"" in an original sentence that shows it means ""a helpful or useful result""."
2026-01-17,Adamant,adjective,ad-a-MANT,medium,refusing to change one's mind,Adamant is an adjective meaning refusing to change one's mind. Use it when that meaning is exactly what you need in writing or speech.,The judge was adamant that the trial would start on time.,from adamas — untamable,"What does ""adamant"" mean?",Refusing to change one's mind.,"Give students 60 seconds to use ""adamant"" in an original sentence that shows it means ""refusing to change one's mind""."
2026-01-18,Tenacious,adjective,tuh-NAY-shuhs,hard,not giving up easily,"A tenacious person keeps holding on to a goal, even when it is difficult.",Her tenacious research finally uncovered the missing records.,Tenacious means you hold tight to the task.,What word describes someone who keeps trying?,Tenacious.,Students write one sentence about a tenacious person from history or sports.
2026-01-19,Admonish,verb,ad-mon-ISH,medium,to warn or scold gently but seriously,Admonish is a verb meaning to warn or scold gently but seriously. Use it when that meaning is exactly what you need in writing or speech.,The coach took a moment to admonish the team for sloppy passing.,from admonere — to advise,"What does ""admonish"" mean?",To warn or scold gently but seriously.,"Give students 60 seconds to use ""admonish"" in an original sentence that shows it means ""to warn or scold gently but seriously""."
2026-01-20,Challenge,noun,CHAL-inj,easy,a difficult task that tests your skill,Challenge is a noun meaning a difficult task that tests your skill. Use it when that meaning is exactly what you need in writing or speech.,Revising a weak thesis was the biggest challenge of the week.,A challenge is a hard task worth trying.,"What does ""challenge"" mean?",A difficult task that tests your skill.,"Give students 60 seconds to use ""challenge"" in an original sentence that shows it means ""a difficult task that tests your skill""."
2026-01-21,Contribute,verb,kuhn-TRIB-yoot,easy,to give something that helps a result,Contribute is a verb meaning to give something that helps a result. Use it when that meaning is exactly what you need in writing or speech.,Each student will contribute one piece of evidence to the shared outline.,Contribute means add your part.,"What does ""contribute"" mean?",To give something that helps a result.,"Give students 60 seconds to use ""contribute"" in an original sentence that shows it means ""to give something that helps a result""."
2026-01-22,Aesthetic,adjective,aes-thet-IC,medium,relating to beauty or what is pleasing to look at,Aesthetic is an adjective meaning relating to beauty or what is pleasing to look at. Use it when that meaning is exactly what you need in writing or speech.,The architect cared about both function and aesthetic appeal.,from aisthetikos — sensitive,"What does ""aesthetic"" mean?",Relating to beauty or what is pleasing to look at.,"Give students 60 seconds to use ""aesthetic"" in an original sentence that shows it means ""relating to beauty or what is pleasing to look at""."
2026-01-23,Affable,adjective,af-fa-BLE,medium,friendly and easy to talk to,Affable is an adjective meaning friendly and easy to talk to. Use it when that meaning is exactly what you need in writing or speech.,"The new manager was affable, which helped him win over the staff.",from affari — to speak to,"What does ""affable"" mean?",Friendly and easy to talk to.,"Give students 60 seconds to use ""affable"" in an original sentence that shows it means ""friendly and easy to talk to""."
2026-01-24,Eloquent,adjective,EL-uh-kwuhnt,hard,expressing ideas clearly and beautifully,"An eloquent speaker or writer uses language in a graceful, effective way.",Her eloquent speech made the audience feel hopeful.,Eloquent expression sounds elegant and clear.,What does an eloquent speaker do well?,Express ideas clearly and beautifully.,"Students rewrite a flat opinion so it sounds more eloquent, without adding fluff."
2026-01-25,Alleviate,verb,al-le-vi-ATE,medium,to make something less severe or painful,Alleviate is a verb meaning to make something less severe or painful. Use it when that meaning is exactly what you need in writing or speech.,The new program was designed to alleviate hunger in rural counties.,from levis — light,"What does ""alleviate"" mean?",To make something less severe or painful.,"Give students 60 seconds to use ""alleviate"" in an original sentence that shows it means ""to make something less severe or painful""."
2026-01-26,Debate,noun,di-BAYT,easy,a structured argument with reasons on both sides,Debate is a noun meaning a structured argument with reasons on both sides. Use it when that meaning is exactly what you need in writing or speech.,The class held a debate about whether homework should be optional.,Debate is a formal back-and-forth.,"What does ""debate"" mean?",A structured argument with reasons on both sides.,"Give students 60 seconds to use ""debate"" in an original sentence that shows it means ""a structured argument with reasons on both sides""."
2026-01-27,Ambivalent,adjective,am-biv-a-LENT,medium,having mixed or conflicting feelings,Ambivalent is an adjective meaning having mixed or conflicting feelings. Use it when that meaning is exactly what you need in writing or speech.,She felt ambivalent about leaving her hometown for college.,from ambo — both,"What does ""ambivalent"" mean?",Having mixed or conflicting feelings.,"Give students 60 seconds to use ""ambivalent"" in an original sentence that shows it means ""having mixed or conflicting feelings""."
2026-01-28,Aberration,noun,ab-er-ra-TION,hard,something that strays from the normal or expected,Aberration is a noun meaning something that strays from the normal or expected. Use it when that meaning is exactly what you need in writing or speech.,His outburst was an aberration in an otherwise calm career.,from aberrare — to wander away,"What does ""aberration"" mean?",Something that strays from the normal or expected.,"Give students 60 seconds to use ""aberration"" in an original sentence that shows it means ""something that strays from the normal or expected""."
2026-01-29,Analogous,adjective,a-nal-o-GOUS,medium,similar in a way that allows comparison,Analogous is an adjective meaning similar in a way that allows comparison. Use it when that meaning is exactly what you need in writing or speech.,The heart is often described as analogous to a pump.,from analogos — proportionate,"What does ""analogous"" mean?",Similar in a way that allows comparison.,"Give students 60 seconds to use ""analogous"" in an original sentence that shows it means ""similar in a way that allows comparison""."
2026-01-30,Effective,adjective,ih-FEK-tiv,easy,successful at producing the result you want,Effective is an adjective meaning successful at producing the result you want. Use it when that meaning is exactly what you need in writing or speech.,The effective topic sentence told readers exactly what the paragraph would prove.,Effective means it actually works.,"What does ""effective"" mean?",Successful at producing the result you want.,"Give students 60 seconds to use ""effective"" in an original sentence that shows it means ""successful at producing the result you want""."
2026-01-31,Factor,noun,FAK-ter,easy,one of the things that causes or influences a result,Factor is a noun meaning one of the things that causes or influences a result. Use it when that meaning is exactly what you need in writing or speech.,Time of day was a factor in how well the group finished the lab.,A factor is one piece of the cause.,"What does ""factor"" mean?",One of the things that causes or influences a result.,"Give students 60 seconds to use ""factor"" in an original sentence that shows it means ""one of the things that causes or influences a result""."
2026-02-01,Anomaly,noun,a-nom-a-LY,medium,something different from the normal pattern,Anomaly is a noun meaning something different from the normal pattern. Use it when that meaning is exactly what you need in writing or speech.,The data point was a clear anomaly the researchers could not explain.,from anomalos — uneven,"What does ""anomaly"" mean?",Something different from the normal pattern.,"Give students 60 seconds to use ""anomaly"" in an original sentence that shows it means ""something different from the normal pattern""."
2026-02-02,Antagonize,verb,an-tag-o-NIZE,medium,to provoke hostility in someone,Antagonize is a verb meaning to provoke hostility in someone. Use it when that meaning is exactly what you need in writing or speech.,He had a habit of antagonizing classmates with sarcastic remarks.,from antagonizesthai — to struggle against,"What does ""antagonize"" mean?",To provoke hostility in someone.,"Give students 60 seconds to use ""antagonize"" in an original sentence that shows it means ""to provoke hostility in someone""."
2026-02-03,Acumen,noun,a-cu-MEN,hard,"keen mental sharpness, especially in practical matters","Acumen is a noun meaning keen mental sharpness, especially in practical matters. Use it when that meaning is exactly what you need in writing or speech.",Her business acumen turned a small bakery into a regional chain.,from acuere — to sharpen,"What does ""acumen"" mean?","Keen mental sharpness, especially in practical matters.","Give students 60 seconds to use ""acumen"" in an original sentence that shows it means ""keen mental sharpness, especially in practical matters""."
2026-02-04,Arduous,adjective,ar-du-OUS,medium,requiring great effort; difficult,Arduous is an adjective meaning requiring great effort; difficult. Use it when that meaning is exactly what you need in writing or speech.,The climb up the ridge proved more arduous than expected.,from arduus — steep,"What does ""arduous"" mean?",Requiring great effort; difficult.,"Give students 60 seconds to use ""arduous"" in an original sentence that shows it means ""requiring great effort; difficult""."
2026-02-05,Impact,noun,IM-pakt,easy,a strong effect on someone or something,Impact is a noun meaning a strong effect on someone or something. Use it when that meaning is exactly what you need in writing or speech.,The new rule had a clear impact on how quietly the hallway felt.,Impact is the effect something leaves.,"What does ""impact"" mean?",A strong effect on someone or something.,"Give students 60 seconds to use ""impact"" in an original sentence that shows it means ""a strong effect on someone or something""."
2026-02-06,Ascertain,verb,as-cer-TAIN,medium,to find out or make certain of something,Ascertain is a verb meaning to find out or make certain of something. Use it when that meaning is exactly what you need in writing or speech.,Investigators tried to ascertain the cause of the warehouse fire.,from acertener — to make certain,"What does ""ascertain"" mean?",To find out or make certain of something.,"Give students 60 seconds to use ""ascertain"" in an original sentence that shows it means ""to find out or make certain of something""."
2026-02-07,Adroit,adjective,a-DROIT,hard,"clever and skillful, especially with the hands or mind","Adroit is an adjective meaning clever and skillful, especially with the hands or mind. Use it when that meaning is exactly what you need in writing or speech.",She gave an adroit answer that satisfied both sides of the debate.,from a droit — rightly,"What does ""adroit"" mean?","Clever and skillful, especially with the hands or mind.","Give students 60 seconds to use ""adroit"" in an original sentence that shows it means ""clever and skillful, especially with the hands or mind""."
2026-02-08,Astute,adjective,as-TUTE,medium,shrewd and quick to understand,Astute is an adjective meaning shrewd and quick to understand. Use it when that meaning is exactly what you need in writing or speech.,An astute investor noticed the trend long before others did.,from astutus — cunning,"What does ""astute"" mean?",Shrewd and quick to understand.,"Give students 60 seconds to use ""astute"" in an original sentence that shows it means ""shrewd and quick to understand""."
2026-02-09,Method,noun,METH-uhd,easy,a planned way of doing something,Method is a noun meaning a planned way of doing something. Use it when that meaning is exactly what you need in writing or speech.,"Our method was to annotate first, then write a one-sentence summary.","Method is the how, not the what.","What does ""method"" mean?",A planned way of doing something.,"Give students 60 seconds to use ""method"" in an original sentence that shows it means ""a planned way of doing something""."
2026-02-10,Outcome,noun,OWT-kuhm,easy,the result of a process or decision,Outcome is a noun meaning the result of a process or decision. Use it when that meaning is exactly what you need in writing or speech.,The outcome of the peer review was a clearer thesis.,Outcome is what you end up with.,"What does ""outcome"" mean?",The result of a process or decision.,"Give students 60 seconds to use ""outcome"" in an original sentence that shows it means ""the result of a process or decision""."
2026-02-11,Audacious,adjective,au-da-CIOUS,medium,willing to take bold risks,Audacious is an adjective meaning willing to take bold risks. Use it when that meaning is exactly what you need in writing or speech.,Her audacious plan to cross the desert alone made headlines.,from audax — bold,"What does ""audacious"" mean?",Willing to take bold risks.,"Give students 60 seconds to use ""audacious"" in an original sentence that shows it means ""willing to take bold risks""."
2026-02-12,Augment,verb,aug-MENT,medium,to make something larger or stronger,Augment is a verb meaning to make something larger or stronger. Use it when that meaning is exactly what you need in writing or speech.,The team hired two engineers to augment their security efforts.,from augere — to increase,"What does ""augment"" mean?",To make something larger or stronger.,"Give students 60 seconds to use ""augment"" in an original sentence that shows it means ""to make something larger or stronger""."
2026-02-13,Adulation,noun,ad-u-la-TION,hard,excessive praise or flattery,Adulation is a noun meaning excessive praise or flattery. Use it when that meaning is exactly what you need in writing or speech.,The young actor was uncomfortable with the adulation from his fans.,from adulari — to fawn upon,"What does ""adulation"" mean?",Excessive praise or flattery.,"Give students 60 seconds to use ""adulation"" in an original sentence that shows it means ""excessive praise or flattery""."
2026-02-14,Austere,adjective,aus-TERE,medium,"strict, plain, and without comfort or decoration","Austere is an adjective meaning strict, plain, and without comfort or decoration. Use it when that meaning is exactly what you need in writing or speech.",The monk's austere room held only a bed and a small lamp.,from austeros — harsh,"What does ""austere"" mean?","Strict, plain, and without comfort or decoration.","Give students 60 seconds to use ""austere"" in an original sentence that shows it means ""strict, plain, and without comfort or decoration""."
2026-02-15,Process,noun,PRAH-ses,easy,a series of steps taken to reach a result,Process is a noun meaning a series of steps taken to reach a result. Use it when that meaning is exactly what you need in writing or speech.,"Revision is a process, not a single pass through the draft.","Process is the steps, not the finish line.","What does ""process"" mean?",A series of steps taken to reach a result.,"Give students 60 seconds to use ""process"" in an original sentence that shows it means ""a series of steps taken to reach a result""."
2026-02-16,Belligerent,adjective,bel-lig-er-ENT,medium,eager to fight or argue,Belligerent is an adjective meaning eager to fight or argue. Use it when that meaning is exactly what you need in writing or speech.,The belligerent customer demanded to see the manager.,from belligerare — to wage war,"What does ""belligerent"" mean?",Eager to fight or argue.,"Give students 60 seconds to use ""belligerent"" in an original sentence that shows it means ""eager to fight or argue""."
2026-02-17,Alacrity,noun,a-lac-ri-TY,hard,cheerful eagerness or readiness,Alacrity is a noun meaning cheerful eagerness or readiness. Use it when that meaning is exactly what you need in writing or speech.,He accepted the assignment with surprising alacrity.,from alacer — lively,"What does ""alacrity"" mean?",Cheerful eagerness or readiness.,"Give students 60 seconds to use ""alacrity"" in an original sentence that shows it means ""cheerful eagerness or readiness""."
2026-02-18,Bolster,verb,bol-STER,medium,to support or strengthen,Bolster is a verb meaning to support or strengthen. Use it when that meaning is exactly what you need in writing or speech.,The new evidence helped bolster the prosecution's case.,from Old English bolster — cushion,"What does ""bolster"" mean?",To support or strengthen.,"Give students 60 seconds to use ""bolster"" in an original sentence that shows it means ""to support or strengthen""."
2026-02-19,Research,noun,REE-surch,easy,careful study to find facts or answers,Research is a noun meaning careful study to find facts or answers. Use it when that meaning is exactly what you need in writing or speech.,Her research included two interviews and a short article.,Research means look it up on purpose.,"What does ""research"" mean?",Careful study to find facts or answers.,"Give students 60 seconds to use ""research"" in an original sentence that shows it means ""careful study to find facts or answers""."
2026-02-20,Strategy,noun,STRAT-uh-jee,easy,a plan for reaching a goal,Strategy is a noun meaning a plan for reaching a goal. Use it when that meaning is exactly what you need in writing or speech.,His strategy was to answer the easy questions first.,Strategy is a plan of attack.,"What does ""strategy"" mean?",A plan for reaching a goal.,"Give students 60 seconds to use ""strategy"" in an original sentence that shows it means ""a plan for reaching a goal""."
2026-02-21,Brevity,noun,brev-i-TY,medium,"shortness, especially in speech or writing","Brevity is a noun meaning shortness, especially in speech or writing. Use it when that meaning is exactly what you need in writing or speech.",The judge praised the lawyer for the brevity of his closing.,from brevis — short,"What does ""brevity"" mean?","Shortness, especially in speech or writing.","Give students 60 seconds to use ""brevity"" in an original sentence that shows it means ""shortness, especially in speech or writing""."
2026-02-22,Caustic,adjective,caus-TIC,medium,bitingly sarcastic or harsh,Caustic is an adjective meaning bitingly sarcastic or harsh. Use it when that meaning is exactly what you need in writing or speech.,Her caustic review of the play offended the director.,from kaustikos — burning,"What does ""caustic"" mean?",Bitingly sarcastic or harsh.,"Give students 60 seconds to use ""caustic"" in an original sentence that shows it means ""bitingly sarcastic or harsh""."
2026-02-23,Ameliorate,verb,a-mel-io-RATE,hard,to make a bad situation better,Ameliorate is a verb meaning to make a bad situation better. Use it when that meaning is exactly what you need in writing or speech.,The aid package aimed to ameliorate conditions in the refugee camps.,from melior — better,"What does ""ameliorate"" mean?",To make a bad situation better.,"Give students 60 seconds to use ""ameliorate"" in an original sentence that shows it means ""to make a bad situation better""."
2026-02-24,Censure,verb,cen-SURE,medium,"to express strong disapproval, often officially","Censure is a verb meaning to express strong disapproval, often officially. Use it when that meaning is exactly what you need in writing or speech.",The committee voted to censure the official for misconduct.,from censere — to judge,"What does ""censure"" mean?","To express strong disapproval, often officially.","Give students 60 seconds to use ""censure"" in an original sentence that shows it means ""to express strong disapproval, often officially""."
2026-02-25,Assume,verb,uh-SOOM,easy,to treat something as true without proving it,Assume is a verb meaning to treat something as true without proving it. Use it when that meaning is exactly what you need in writing or speech.,Do not assume the author agrees with the narrator.,Assume is a guess you treat as fact.,"What does ""assume"" mean?",To treat something as true without proving it.,"Give students 60 seconds to use ""assume"" in an original sentence that shows it means ""to treat something as true without proving it""."
2026-02-26,Chastise,verb,chas-TISE,medium,to scold or correct firmly,Chastise is a verb meaning to scold or correct firmly. Use it when that meaning is exactly what you need in writing or speech.,The teacher chastised the class for cheating on the quiz.,from castigare — to correct,"What does ""chastise"" mean?",To scold or correct firmly.,"Give students 60 seconds to use ""chastise"" in an original sentence that shows it means ""to scold or correct firmly""."
2026-02-27,Anachronism,noun,a-nach-ro-NISM,hard,something out of place in its time period,Anachronism is a noun meaning something out of place in its time period. Use it when that meaning is exactly what you need in writing or speech.,The pocket watch in the medieval film was a clear anachronism.,from ana- + chronos — against time,"What does ""anachronism"" mean?",Something out of place in its time period.,"Give students 60 seconds to use ""anachronism"" in an original sentence that shows it means ""something out of place in its time period""."
2026-02-28,Colloquial,adjective,col-lo-qui-AL,medium,used in ordinary or informal speech,Colloquial is an adjective meaning used in ordinary or informal speech. Use it when that meaning is exactly what you need in writing or speech.,The essay used a colloquial tone that felt friendly.,from colloquium — conversation,"What does ""colloquial"" mean?",Used in ordinary or informal speech.,"Give students 60 seconds to use ""colloquial"" in an original sentence that shows it means ""used in ordinary or informal speech""."
2026-03-01,Available,adjective,uh-VAY-luh-buhl,easy,able to be used or obtained,Available is an adjective meaning able to be used or obtained. Use it when that meaning is exactly what you need in writing or speech.,The style guide is available on the class site if you need a citation example.,Available means you can get it.,"What does ""available"" mean?",Able to be used or obtained.,"Give students 60 seconds to use ""available"" in an original sentence that shows it means ""able to be used or obtained""."
2026-03-02,Consist,verb,kuhn-SIST,easy,to be made up of particular parts,Consist is a verb meaning to be made up of particular parts. Use it when that meaning is exactly what you need in writing or speech.,"A strong paragraph should consist of a claim, evidence, and explanation.",Consist of means is made of.,"What does ""consist"" mean?",To be made up of particular parts.,"Give students 60 seconds to use ""consist"" in an original sentence that shows it means ""to be made up of particular parts""."
2026-03-03,Complacent,adjective,com-pla-CENT,medium,too pleased with oneself; not alert to dangers,Complacent is an adjective meaning too pleased with oneself; not alert to dangers. Use it when that meaning is exactly what you need in writing or speech.,The team grew complacent after winning the first match easily.,from complacere — to be very pleasing,"What does ""complacent"" mean?",Too pleased with oneself; not alert to dangers.,"Give students 60 seconds to use ""complacent"" in an original sentence that shows it means ""too pleased with oneself; not alert to dangers""."
2026-03-04,Condone,verb,con-DONE,medium,to accept or allow behavior that is wrong,Condone is a verb meaning to accept or allow behavior that is wrong. Use it when that meaning is exactly what you need in writing or speech.,The school does not condone bullying of any kind.,from condonare — to forgive,"What does ""condone"" mean?",To accept or allow behavior that is wrong.,"Give students 60 seconds to use ""condone"" in an original sentence that shows it means ""to accept or allow behavior that is wrong""."
2026-03-05,Antipathy,noun,an-tip-a-THY,hard,a deep feeling of dislike,Antipathy is a noun meaning a deep feeling of dislike. Use it when that meaning is exactly what you need in writing or speech.,There was clear antipathy between the two rival reporters.,from anti- + pathos — against feeling,"What does ""antipathy"" mean?",A deep feeling of dislike.,"Give students 60 seconds to use ""antipathy"" in an original sentence that shows it means ""a deep feeling of dislike""."
2026-03-06,Confound,verb,con-FOUND,medium,to confuse or surprise greatly,Confound is a verb meaning to confuse or surprise greatly. Use it when that meaning is exactly what you need in writing or speech.,The result confounded scientists who had predicted the opposite.,from confundere — to mix together,"What does ""confound"" mean?",To confuse or surprise greatly.,"Give students 60 seconds to use ""confound"" in an original sentence that shows it means ""to confuse or surprise greatly""."
2026-03-07,Define,verb,di-FINE,easy,to state the exact meaning of a word or idea,Define is a verb meaning to state the exact meaning of a word or idea. Use it when that meaning is exactly what you need in writing or speech.,"Before we argue, we need to define what ""fair"" means in this policy.",Define means pin the meaning down.,"What does ""define"" mean?",To state the exact meaning of a word or idea.,"Give students 60 seconds to use ""define"" in an original sentence that shows it means ""to state the exact meaning of a word or idea""."
2026-03-08,Conjecture,noun,con-jec-TURE,medium,a guess based on incomplete information,Conjecture is a noun meaning a guess based on incomplete information. Use it when that meaning is exactly what you need in writing or speech.,"Without more data, his theory remained mere conjecture.",from conjicere — to throw together,"What does ""conjecture"" mean?",A guess based on incomplete information.,"Give students 60 seconds to use ""conjecture"" in an original sentence that shows it means ""a guess based on incomplete information""."
2026-03-09,Arcane,adjective,ar-CANE,hard,understood by only a small group; mysterious,Arcane is an adjective meaning understood by only a small group; mysterious. Use it when that meaning is exactly what you need in writing or speech.,The tax code contains arcane rules that only specialists grasp.,from arcanus — hidden,"What does ""arcane"" mean?",Understood by only a small group; mysterious.,"Give students 60 seconds to use ""arcane"" in an original sentence that shows it means ""understood by only a small group; mysterious""."
2026-03-10,Contentious,adjective,con-ten-TIOUS,medium,likely to cause argument,Contentious is an adjective meaning likely to cause argument. Use it when that meaning is exactly what you need in writing or speech.,The new zoning rule became a contentious topic at town meetings.,from contendere — to strive,"What does ""contentious"" mean?",Likely to cause argument.,"Give students 60 seconds to use ""contentious"" in an original sentence that shows it means ""likely to cause argument""."
2026-03-11,Demonstrate,verb,DEM-uhn-strayt,easy,to show clearly with examples or evidence,Demonstrate is a verb meaning to show clearly with examples or evidence. Use it when that meaning is exactly what you need in writing or speech.,Use a quotation to demonstrate that the character feels trapped.,"Demonstrate means show, not just say.","What does ""demonstrate"" mean?",To show clearly with examples or evidence.,"Give students 60 seconds to use ""demonstrate"" in an original sentence that shows it means ""to show clearly with examples or evidence""."
2026-03-12,Emerge,verb,ih-MURJ,easy,to become known or come into view,Emerge is a verb meaning to become known or come into view. Use it when that meaning is exactly what you need in writing or speech.,A pattern began to emerge after we sorted the survey answers.,Emerge means show up or come out.,"What does ""emerge"" mean?",To become known or come into view.,"Give students 60 seconds to use ""emerge"" in an original sentence that shows it means ""to become known or come into view""."
2026-03-13,Conundrum,noun,co-nun-DRUM,medium,a confusing problem or puzzle,Conundrum is a noun meaning a confusing problem or puzzle. Use it when that meaning is exactly what you need in writing or speech.,Balancing growth and privacy is a real conundrum for tech firms.,"origin uncertain, 17th-century English coinage","What does ""conundrum"" mean?",A confusing problem or puzzle.,"Give students 60 seconds to use ""conundrum"" in an original sentence that shows it means ""a confusing problem or puzzle""."
2026-03-14,Copious,adjective,co-pi-OUS,medium,in large amounts; plentiful,Copious is an adjective meaning in large amounts; plentiful. Use it when that meaning is exactly what you need in writing or speech.,She took copious notes during the four-hour lecture.,from copia — abundance,"What does ""copious"" mean?",In large amounts; plentiful.,"Give students 60 seconds to use ""copious"" in an original sentence that shows it means ""in large amounts; plentiful""."
2026-03-15,Assiduous,adjective,as-sid-u-OUS,hard,showing great care and constant effort,Assiduous is an adjective meaning showing great care and constant effort. Use it when that meaning is exactly what you need in writing or speech.,His assiduous note-taking paid off during final exams.,from assidere — to sit by,"What does ""assiduous"" mean?",Showing great care and constant effort.,"Give students 60 seconds to use ""assiduous"" in an original sentence that shows it means ""showing great care and constant effort""."
